section_number,section_title,chunk_count,earliest_created_at,latest_created_at
NVIC 01-13 §9,"Inspection and Certification of Vessels Under the Maritime Security Program (MSP) — Bunk cards, station bill, muster list, and watch keeping schedule",6,2026-04-07 03:29:19.451776+00,2026-04-07 03:29:19.451776+00
NVIC 01-15 §1,Marine Casualty Reporting Procedures Guide with Associated Standard Interpretations — PURPOSE. This circular provides guidance for the identification and reporting of marine,1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-15 §2,"Marine Casualty Reporting Procedures Guide with Associated Standard Interpretations — DISCLAIMER. This circular is not a substitute for applicable legal requirements, nor is itself a",1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-15 §3,Marine Casualty Reporting Procedures Guide with Associated Standard Interpretations — ACTION.,1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-15 §5,Marine Casualty Reporting Procedures Guide with Associated Standard Interpretations — BACKGROUND.,1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-15 §6,Marine Casualty Reporting Procedures Guide with Associated Standard Interpretations — DISCUSSION. The purpose of marine casualty reporting is to assist the Coast Guard in,1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-15 §7,Marine Casualty Reporting Procedures Guide with Associated Standard Interpretations — COTP AND OCMI PROCEDURES. A “marine casualty or accident” as defined in 46 CFR,2,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-15 §8,"Marine Casualty Reporting Procedures Guide with Associated Standard Interpretations — MARITIME INDUSTRY RESPONSIBILITIES. Per reference (b), the owner, agent,",39,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-16 §1,"EQUIVALENCY DETERMINATION FOR CHART AND PUBLICATION CARRIAGE REQUIREMENTS, NVIC 01-16 CH-3, COMDTPUB 16700.4 — Electronic Navigational Charts and Electronic Chart Systems. The following criteria",2,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-16 §10,"EQUIVALENCY DETERMINATION FOR CHART AND PUBLICATION CARRIAGE REQUIREMENTS, NVIC 01-16 CH-3, COMDTPUB 16700.4 — RECORDS MANAGEMENT CONSIDERATIONS. This circular has been thoroughly",1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-16 §12,"EQUIVALENCY DETERMINATION FOR CHART AND PUBLICATION CARRIAGE REQUIREMENTS, NVIC 01-16 CH-3, COMDTPUB 16700.4 — REQUEST FOR CHANGES. Submit recommended changes or questions regarding this",2,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-16 §2,"EQUIVALENCY DETERMINATION FOR CHART AND PUBLICATION CARRIAGE REQUIREMENTS, NVIC 01-16 CH-3, COMDTPUB 16700.4 — Inspection of Electronic Chart System (ECS) Displays.",1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-16 §3,"EQUIVALENCY DETERMINATION FOR CHART AND PUBLICATION CARRIAGE REQUIREMENTS, NVIC 01-16 CH-3, COMDTPUB 16700.4 — Inspection of ENC-Derived Paper Charts. The inspector should verify:",1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-16 §4,"EQUIVALENCY DETERMINATION FOR CHART AND PUBLICATION CARRIAGE REQUIREMENTS, NVIC 01-16 CH-3, COMDTPUB 16700.4 — Inspection of Electronic Publications and Rules. The inspector should:",1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-16 §5,"EQUIVALENCY DETERMINATION FOR CHART AND PUBLICATION CARRIAGE REQUIREMENTS, NVIC 01-16 CH-3, COMDTPUB 16700.4 — Deficiencies. Vessels that do not comply with the regulations nor an equivalency described",1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-16 §6,"EQUIVALENCY DETERMINATION FOR CHART AND PUBLICATION CARRIAGE REQUIREMENTS, NVIC 01-16 CH-3, COMDTPUB 16700.4 — DISCLAIMER. This guidance is not a substitute for applicable legal requirements, nor is it",1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-16 §7,"EQUIVALENCY DETERMINATION FOR CHART AND PUBLICATION CARRIAGE REQUIREMENTS, NVIC 01-16 CH-3, COMDTPUB 16700.4 — ENVIRONMENTAL ASPECT AND IMPACT CONSIDERATION. The Office of",1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-16 §8,"EQUIVALENCY DETERMINATION FOR CHART AND PUBLICATION CARRIAGE REQUIREMENTS, NVIC 01-16 CH-3, COMDTPUB 16700.4 — MAJOR CHANGES. This change to NVIC 01-16 revises the following:",1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-16 §9,"EQUIVALENCY DETERMINATION FOR CHART AND PUBLICATION CARRIAGE REQUIREMENTS, NVIC 01-16 CH-3, COMDTPUB 16700.4 — DISTRIBUTION. No paper distribution will be made of this NVIC. An electronic version",1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-18 §1,Ballast Water Management for Control of Non-Indigenous Species in Waters of The United States — BWM Requirements. Ballast water management requirements are provided for in 33,10,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-18 §10,"Ballast Water Management for Control of Non-Indigenous Species in Waters of The United States — FORMS/REPORTS. Ballast water reporting forms, including instructions and methods",1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-18 §11,Ballast Water Management for Control of Non-Indigenous Species in Waters of The United States — REQUEST FOR CHANGES. Coast Guard personnel may recommend updates to this,1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-18 §2,Ballast Water Management for Control of Non-Indigenous Species in Waters of The United States — BWM Enforcement Options.,9,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-18 §3,Ballast Water Management for Control of Non-Indigenous Species in Waters of The United States — Alternate Management System (AMS).,2,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-18 §4,Ballast Water Management for Control of Non-Indigenous Species in Waters of The United States — Discharge of Ballast Water in Extraordinary Circumstances. In the vessel’s BWM Plan,5,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-18 §5,Ballast Water Management for Control of Non-Indigenous Species in Waters of The United States — Shipboard Technology Evaluation Program (STEP): The STEP is a voluntary program,1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-18 §6,Ballast Water Management for Control of Non-Indigenous Species in Waters of The United States — DISCLAIMER. The guidance in this NVIC is not a substitute for applicable legal,3,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-18 §7,Ballast Water Management for Control of Non-Indigenous Species in Waters of The United States — BWM Plan (BWMP). Vessel owners or operators must maintain the BWMP specific for,1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-18 §8,Ballast Water Management for Control of Non-Indigenous Species in Waters of The United States — Compliance Verification 18,4,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-18 §9,Ballast Water Management for Control of Non-Indigenous Species in Waters of The United States — RECORDS MANAGEMENT CONSIDERATIONS. This NVIC has been thoroughly,1,2026-04-07 03:29:16.78617+00,2026-04-07 03:29:16.78617+00
NVIC 01-25 §1,Navigation — PURPOSE. To provide guidance to public and private stakeholders participating in local,1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §10,Navigation — RECOMMENDATIONS FOR ESTABLISHING A NEW HARBOR SAFETY,2,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §11,Navigation — RESOURCES FOR HARBOR SAFETY COMMITTEES. A common refrain among,2,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §12,Navigation — EXPECTATIONS FOR THE HARBOR SAFETY COMMITTEE NATIONAL STEERING,1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §13,Navigation — ENVIRONMENTAL ASPECT AND IMPACT CONSIDERATIONS. The development of,1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §14,Navigation — RECORDS MANAGEMENT CONSIDERATIONS. This NVIC has been thoroughly,1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §16,"Navigation — DISCLAIMER. This policy is not a substitute for applicable legal requirements, nor is it",1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §17,Navigation — QUESTIONS. Questions regarding implementation of this NVIC should be directed to the,8,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §2,"Navigation — DIRECTIVES AFFECTED. NVIC 01-00, Guidance for the establishment and development",1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §3,Navigation — HARBOR SAFETY COMMITTEE DEFINED.,1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §4,Navigation — DISTINGUISHING BETWEEN HARBOR SAFETY COMMITTEES AND OTHER,2,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §5,Navigation — BACKGROUND.,2,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §6,Navigation — DISCUSSION.,2,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §7,Navigation — EXPECTATIONS FOR AND LIMITATIONS TO COAST GUARD SUPPORT.,4,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §8,Navigation — GENERAL ORGANIZATION AND OPERATION. The USCG recognizes the importance,6,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-25 §9,Navigation — EXPECTATIONS FOR EXISTING HARBOR SAFETY COMMITTEES. HSCs cannot be,1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-65 §1,"24.0' x 8.0' x 3.58' Steel Lifeboats with Removable Interiors, Oar Propelled (App. No. 160.035/398/0), Hand-Propelled (App. No. 160.035/411/0), and Motor-Propelled (App. No. 160.035/412/0), Manufactured by Welin Davit & Boat, Perth Amboy, New Jersey, Replacement of Short Breast Plates — Welin Davit and Boat Division of",1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-65 §2,"24.0' x 8.0' x 3.58' Steel Lifeboats with Removable Interiors, Oar Propelled (App. No. 160.035/398/0), Hand-Propelled (App. No. 160.035/411/0), and Motor-Propelled (App. No. 160.035/412/0), Manufactured by Welin Davit & Boat, Perth Amboy, New Jersey, Replacement of Short Breast Plates — Bell and Company",1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-65 §3,"24.0' x 8.0' x 3.58' Steel Lifeboats with Removable Interiors, Oar Propelled (App. No. 160.035/398/0), Hand-Propelled (App. No. 160.035/411/0), and Motor-Propelled (App. No. 160.035/412/0), Manufactured by Welin Davit & Boat, Perth Amboy, New Jersey, Replacement of Short Breast Plates — Del-Mar Corporation",1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-65 §4,"24.0' x 8.0' x 3.58' Steel Lifeboats with Removable Interiors, Oar Propelled (App. No. 160.035/398/0), Hand-Propelled (App. No. 160.035/411/0), and Motor-Propelled (App. No. 160.035/412/0), Manufactured by Welin Davit & Boat, Perth Amboy, New Jersey, Replacement of Short Breast Plates — Action Required. All vessels known to be outfitted with any of the subject 24’ steel Welin lifeboats",2,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-65 §5,"24.0' x 8.0' x 3.58' Steel Lifeboats with Removable Interiors, Oar Propelled (App. No. 160.035/398/0), Hand-Propelled (App. No. 160.035/411/0), and Motor-Propelled (App. No. 160.035/412/0), Manufactured by Welin Davit & Boat, Perth Amboy, New Jersey, Replacement of Short Breast Plates — Roberton & Schwartz, Inc.",1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-71 §1,Repair of Boiler Safety Valves — Purpose The purpose of this circular is to outline of conditions Coast Guard approval and,1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-71 §2,Repair of Boiler Safety Valves — Cancellation This circular supersedes and cancels Navigation and Vessel Inspection Circular 1-70,1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-71 §4,Repair of Boiler Safety Valves — Discussion. Previous history of unsatisfactory repairs to safety valves has demonstrated a need to,1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-71 §5,Repair of Boiler Safety Valves — Safety Valve Repairs.,1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-71 §6,Repair of Boiler Safety Valves — Action. The following procedures outline criteria for Coast Guard acceptance of repairs of safety,1,2026-04-07 03:29:49.314717+00,2026-04-07 03:29:49.314717+00
NVIC 01-78 §1,Automation of Offshore Supply Vessels of 100 Gross Tons and Over — Equipment to be installed at the pilothouse control station:,2,2026-04-07 03:29:46.819797+00,2026-04-07 03:29:46.819797+00
NVIC 01-78 §2,Automation of Offshore Supply Vessels of 100 Gross Tons and Over — DISCUSSION. Comments from Coast Guard field offices as well as the marine industry indicate,2,2026-04-07 03:29:46.819797+00,2026-04-07 03:29:46.819797+00
NVIC 01-78 §3,Automation of Offshore Supply Vessels of 100 Gross Tons and Over — ACTION. The following dates shall be taken for action in the implementation of NVC 1-78:,1,2026-04-07 03:29:46.819797+00,2026-04-07 03:29:46.819797+00
NVIC 01-78 §4,Automation of Offshore Supply Vessels of 100 Gross Tons and Over — a. Lamp test switches are required on alarm panels in the pilothouse and in the engineroom.,1,2026-04-07 03:29:46.819797+00,2026-04-07 03:29:46.819797+00
NVIC 01-80 §1,Inspection of Viking On-Load Release Gear on Watercraft America Lifeboats — PURPOSE. This Circular establishes inspection procedures for Viking On-Load Release Gear,1,2026-04-07 03:29:46.819797+00,2026-04-07 03:29:46.819797+00
NVIC 01-80 §2,Inspection of Viking On-Load Release Gear on Watercraft America Lifeboats — BACKGROUND,1,2026-04-07 03:29:46.819797+00,2026-04-07 03:29:46.819797+00
NVIC 01-80 §3,Inspection of Viking On-Load Release Gear on Watercraft America Lifeboats — DISCUSSION.,1,2026-04-07 03:29:46.819797+00,2026-04-07 03:29:46.819797+00
NVIC 01-80 §4,Inspection of Viking On-Load Release Gear on Watercraft America Lifeboats — ACTION.,3,2026-04-07 03:29:46.819797+00,2026-04-07 03:29:46.819797+00
